ate_num_t,ate_num
ATM178732,0NICA6201
ATM606605,0NICAZ201
ATM960641,0NICA9001
ATM969934,0NICA0209
ATM717921,0NICAQ901
ATM311859,0NICAB901
ATM833993,0NICAB501
ATM567060,0NICAM001
ATM597802,0NICAY601
ATM290593,0NICAH103
ATM960107,0NICA2101
ATM893702,0NICA8301
ATM795772,0NICA0604
ATM551697,0NICAC501
ATM736059,0NICAK001
ATM886980,0NICAW801
ATM407934,0NICAL601
ATM842401,0NICAT201
ATM380497,0NICAF704
ATM897328,0NICAZ301
ATM704459,0NICAP301
ATM807260,0NICA0402
ATM645277,0NICAQ501
ATM414371,0NICA3104
ATM468015,0NICAJ501
ATM584347,0NICAD103
ATM927842,0NICAF301
ATM287674,0NICA0107
ATM254410,0NICAI401
ATM606581,0NICAM601
ATM607780,0NICAH801
ATM934054,0NICAF501
ATM156139,0NICA9801
ATM365694,0NICA8003
ATM750274,0NICAV301
ATM508591,0NICAO603
ATM968733,0NICA6701
ATM724036,0NICA5901
ATM199711,0NICAB801
ATM576610,0NICA2505
ATM439481,0NICAE601
ATM489712,0NICAC303
ATM570599,0NICAZ401
ATM129093,0NICAE101
ATM176252,0NIC00138
ATM226988,0NICAK801
ATM117083,0NICAT401
ATM358272,0NICAI101
ATM348600,0NICA7503
ATM165195,0NICAM401
ATM125674,0NICA2304
ATM100814,0NICAN201
ATM565492,0NICAN801
ATM465371,0NICAI601
ATM275527,0NICAS901
ATM935658,0NICA3503
ATM949317,0NIC53068
ATM857356,0NICA3908
ATM700284,0NICAB601
ATM744706,0NIC00151
ATM454372,0NICAG701
ATM374433,0NICA2901
ATM411792,0NICAZ003
ATM429499,0NICAC801
ATM289795,0NICAJ703
ATM176251,0NICAL201
ATM751416,0NICA1607
ATM444409,0NICA4701
ATM100808,0NICAO004
ATM844850,0NICA0101
ATM672487,0NICAK601
ATM978367,0NICAH101
ATM893811,0NICAR201
ATM241335,0NICAK401
ATM655235,0NICA3001
ATM898630,0NICAK501
ATM695384,0NICA9701
ATM642656,0NICAY301
ATM390092,0NICAC904
ATM469808,0NICA7601
ATM975977,0NICAB301
ATM837550,0NICA3907
ATM161325,0NICA8501
ATM617612,0NICAAA01
ATM560165,0NICAW303
ATM932796,0NICAF801
ATM494586,0NICA3901
ATM943066,0NICAB003
ATM767815,0NICA0501
ATM987713,0NICA2501
ATM456204,0NICAN301
ATM171101,0NICAB001
ATM638433,0NICA0213
ATM269172,0NICAA101
ATM566840,0NICAZ501
ATM533663,0NICA1903
ATM129450,0NICA7403
ATM827976,0NIC53074
ATM219157,0NIC53008
ATM878476,0NICAA204
ATM683656,0NICA4903
ATM590575,0NIC99110
ATM964281,0NICAC901
ATM358919,0NICAZ903
ATM171202,0NICAH601
ATM750376,0NICA5001
ATM760935,0NICAW901
ATM532710,0NIC99111
ATM173748,0NICAV503
ATM233324,0NICAD101
ATM781688,0NICA7801
ATM896085,0NICAB401
ATM118207,0NICAI801
ATM744547,0NICAL001
ATM336187,0NICAS701
ATM832560,0NICA4204
ATM692689,0NICAV701
ATM532977,0NICA4704
ATM343701,0NICAI301
ATM646171,0NICA9103
ATM781001,0NIC00147
ATM684840,0NICA1407
ATM749204,0NICA5905
ATM185566,0NICAH205
