ts_cnt,bank_id,del_flg,srl_num,ratecode,lchg_time,rcre_time,rtlist_num,rtlist_date,lchg_user_id,low_slab_amt,rcre_user_id,high_slab_amt,fxd_crncy_code,var_crncy_code,fxd_crncy_units,slab_crncy_code,var_crncy_units,cust_var_crncy_units,updated_at
0,1,N,1,REV,2010-04-01T12:01:17,2010-04-01T12:01:17,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,EUR,NPR,1,,96.81,96.81,2024-08-07 06:55:35.894
0,1,N,1,SEL,2010-04-01T12:01:17,2010-04-01T12:01:17,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,EUR,NPR,1,,97.43,96.81,2024-08-07 06:55:35.894
0,1,N,1,NCB,2010-04-01T12:01:27,2010-04-01T12:01:27,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,GBP,NPR,1,,108.51,109.12,2024-08-07 06:55:35.894
0,1,N,1,SEL,2010-04-01T12:01:27,2010-04-01T12:01:27,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,GBP,NPR,1,,109.73,109.12,2024-08-07 06:55:35.894
0,1,N,1,REV,2010-04-01T12:01:27,2010-04-01T12:01:27,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,GBP,NPR,1,,109.12,109.12,2024-08-07 06:55:35.894
0,1,N,1,CSB,2010-04-01T12:01:27,2010-04-01T12:01:27,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,GBP,NPR,1,,107.42,109.12,2024-08-07 06:55:35.894
0,1,N,1,CSB,2010-04-01T12:01:38,2010-04-01T12:01:38,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,CHF,NPR,1,,67.01,68.06,2024-08-07 06:55:35.894
0,1,N,1,SEL,2010-04-01T12:01:38,2010-04-01T12:01:38,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,CHF,NPR,1,,68.43,68.06,2024-08-07 06:55:35.894
0,1,N,1,NCB,2010-04-01T12:01:38,2010-04-01T12:01:38,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,CHF,NPR,1,,67.69,68.06,2024-08-07 06:55:35.894
0,1,N,1,REV,2010-04-01T12:01:38,2010-04-01T12:01:38,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,CHF,NPR,1,,68.06,68.06,2024-08-07 06:55:35.894
0,1,N,1,NCB,2010-04-01T12:01:48,2010-04-01T12:01:48,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,JPY,NPR,1,,0.76,0.768,2024-08-07 06:55:35.894
0,1,N,1,SEL,2010-04-01T12:01:48,2010-04-01T12:01:48,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,JPY,NPR,1,,0.775,0.768,2024-08-07 06:55:35.894
0,1,N,1,CSB,2010-04-01T12:01:48,2010-04-01T12:01:48,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,JPY,NPR,1,,0.752,0.768,2024-08-07 06:55:35.894
0,1,N,1,REV,2010-04-01T12:01:48,2010-04-01T12:01:48,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,JPY,NPR,1,,0.768,0.768,2024-08-07 06:55:35.894
0,1,N,1,SEL,2010-04-01T12:02:00.000000,2010-04-01T12:02:00.000000,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,AUD,NPR,1,,66.83,66.19,2024-08-07 06:55:35.894
0,1,N,1,REV,2010-04-01T12:02:00.000000,2010-04-01T12:02:00.000000,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,AUD,NPR,1,,66.19,66.19,2024-08-07 06:55:35.894
0,1,N,1,CSB,2010-04-01T12:02:00.000000,2010-04-01T12:02:00.000000,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,AUD,NPR,1,,64.9,66.19,2024-08-07 06:55:35.894
0,1,N,1,NCB,2010-04-01T12:02:00.000000,2010-04-01T12:02:00.000000,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,AUD,NPR,1,,65.55,66.19,2024-08-07 06:55:35.894
0,1,N,1,SEL,2010-04-01T12:02:16,2010-04-01T12:02:16,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,SGD,NPR,1,,51.57,51.38,2024-08-07 06:55:35.894
0,1,N,1,NCB,2010-04-01T12:02:16,2010-04-01T12:02:16,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,SGD,NPR,1,,51.19,51.38,2024-08-07 06:55:35.894
0,1,N,1,REV,2010-04-01T12:02:16,2010-04-01T12:02:16,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,SGD,NPR,1,,51.38,51.38,2024-08-07 06:55:35.894
0,1,N,1,CSB,2010-04-01T12:02:16,2010-04-01T12:02:16,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,SGD,NPR,1,,50.68,51.38,2024-08-07 06:55:35.894
0,1,N,1,CSB,2010-04-01T12:02:27,2010-04-01T12:02:27,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,HKD,NPR,1,,9.12,9.25,2024-08-07 06:55:35.894
0,1,N,1,SEL,2010-04-01T12:02:27,2010-04-01T12:02:27,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,HKD,NPR,1,,9.29,9.25,2024-08-07 06:55:35.894
0,1,N,1,CSB,2010-08-01T11:50:08,2010-08-01T11:50:08,1,2010-08-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,USD,NPR,1,,73.21,74.25,2024-08-07 06:55:35.894
0,1,N,1,SEL,2010-08-01T11:50:08,2010-08-01T11:50:08,1,2010-08-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,USD,NPR,1,,74.55,74.25,2024-08-07 06:55:35.894
0,1,N,1,NCB,2010-08-01T11:50:08,2010-08-01T11:50:08,1,2010-08-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,USD,NPR,1,,73.95,74.25,2024-08-07 06:55:35.894
0,1,N,1,REV,2010-08-01T11:50:08,2010-08-01T11:50:08,1,2010-08-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,USD,NPR,1,,74.25,74.25,2024-08-07 06:55:35.894
0,1,N,1,REV,2010-08-01T11:51:27,2010-08-01T11:51:27,1,2010-08-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,GBP,NPR,1,,116.31,116.31,2024-08-07 06:55:35.894
0,1,N,1,SEL,2010-08-01T11:51:27,2010-08-01T11:51:27,1,2010-08-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,GBP,NPR,1,,116.95,116.31,2024-08-07 06:55:35.894
0,1,N,1,CSB,2010-08-01T11:51:27,2010-08-01T11:51:27,1,2010-08-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,GBP,NPR,1,,114.52,116.31,2024-08-07 06:55:35.894
0,1,N,1,NCB,2010-08-01T11:51:27,2010-08-01T11:51:27,1,2010-08-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,GBP,NPR,1,,115.67,116.31,2024-08-07 06:55:35.894
0,1,N,1,NCB,2010-08-01T11:51:38,2010-08-01T11:51:38,1,2010-08-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,CHF,NPR,1,,70.81,71.18,2024-08-07 06:55:35.894
0,1,N,1,SEL,2010-08-01T11:51:38,2010-08-01T11:51:38,1,2010-08-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,CHF,NPR,1,,71.54,71.18,2024-08-07 06:55:35.894
0,1,N,1,REV,2010-08-01T11:51:38,2010-08-01T11:51:38,1,2010-08-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,CHF,NPR,1,,71.18,71.18,2024-08-07 06:55:35.894
