ADDR_1,ADDR_2,ADDR_3,SDL_ID,SOL_ID,TS_CNT,BANK_ID,BR_CODE,DEL_FLG,DP_CODE,FAB_FLG,MRS_NAME,PIN_CODE,SOL_DESC,WKLY_OFF,BANK_CODE,CITY_CODE,LCHG_TIME,MINOR_AGE,RCRE_TIME,SOL_ALIAS,TIME_ZONE,WKLY_OFF2,CNTRY_CODE,LICENSE_NO,PAN_GIR_NO,STATE_CODE,ENTITY_NAME,REGION_NAME,SOL_CLS_FLG,SOL_NAT_FLG,ABBR_BR_NAME,BOD_SYS_DATE,BR_OPEN_DATE,BR_STAT_CODE,CS_SOL_MESG1,CS_SOL_MESG2,DB_STAT_CODE,EXTERNAL_SOL,LCHG_USER_ID,RCRE_USER_ID,SOL_BOD_DATE,SOL_CLS_DATE,SOL_PRIORITY,ALT1_SOL_DESC,CUT_OVER_TIME,DIVISION_NAME,PROFIT_CENTER,TR_ENABLE_FLG,ABBR_BANK_NAME,ATM_JOB_STATUS,BR_FREE_CODE_1,BR_FREE_CODE_2,BR_FREE_CODE_3,BR_FREE_CODE_4,BR_FREE_CODE_5,BR_FREE_CODE_6,BR_FREE_CODE_7,BR_FREE_CODE_8,BR_FREE_CODE_9,CLG_CENTRE_NUM,DDN_WARN_LEVEL,EXTN_CNTR_CODE,HIGH_VALUE_SOL,MICR_BANK_CODE,PREF_LANG_CODE,SOL_EOD_STATUS,BATCH_OPER_DATE,BR_FREE_CODE_10,CTS_ENABLED_FLG,DB_STAT_USER_ID,HOME_CRNCY_CODE,LOCAL_IMAGE_FLG,MICR_CENTRE_FLG,PARTITION_ALIAS,REFERRAL_SET_ID,STOP_CLG_FT_FLG,TDS_CIRCLE_NAME,TREA_FREE_TEXT1,TREA_FREE_TEXT2,UNIFORM_BR_CODE,DB_INT_STAT_CODE,MENU_DISABLE_FLG,MICR_BRANCH_CODE,MICR_CENTRE_CODE,STOP_CASH_FT_FLG,STOP_XFER_FT_FLG,TAX_DEDN_DETAILS,BRANCH_IP_ADDRESS,CS_SOL_NATL_MESG1,CS_SOL_NATL_MESG2,DESTRY_INVT_CLASS,LAST_SI_EXEC_DATE,TDS_CERT_NUM_CODE,TYPE_OF_CASH_ACCT,CIRCLE_OFFICE_NAME,NEXT_CUST_NUM_CODE,PDC_INSTL_RUN_DATE,PREF_LANG_SOL_DESC,TR_HOME_CRNCY_CODE,BRANCH_REF_PORT_NUM,REROUTE_STP_ALLOWED,DATE_OF_INSTALLATION,DESTRY_INVT_LOCATION,FC_VAULT_LIMIT_IN_HC,HC_VAULT_LIMIT_IN_HC,NUM_OF_TIMES_IBR_GEN,OSP_MAX_OUT_STD_DAYS,INSTRMNT_WISE_REG_ALWD,RECEIVE_ALL_IMAGES_FLG,SOL_RESTARTABILITY_FLG,SAME_DAY_REV_TO_IBR_FLG,CONSOL_VAULT_LIMIT_IN_HC,DDN_WARN_LEVEL_EXCP_CODE,VALUE_DATING_ON_HOLIDAYS,INSTRMNT_ENCODE_BATCH_NUM,INSTRMNT_ENCODE_BLOCK_NUM,LAST_INT_CALC_DATE_FOR_SB,USER_CLG_DR_LIM_EXCP_CODE,EXT_EOD_NOT_COMP_EXCP_CODE,USER_CASH_DR_LIM_EXCP_CODE,USER_XFER_DR_LIM_EXCP_CODE,PROXY_NOT_SQUARED_EXCP_CODE,PROXY_PEND_VERIFN_EXCP_CODE,ALL_EXT_TRANS_PROC_EXCP_CODE,updated_at
GAJURI,,,ALL,I4,90916,1,I4,N,,N,,,GAJURI BRANCH,7,BOAN,KATH,2024-07-26T21:28:51,18,2018-01-09T15:11:38,184,NPT,0,,,,BAGMA,,,Y,C,GAJ,2018-11-06T06:53:51,2018-01-09T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,I4,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-09T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
BEDKOT,,,ALL,I5,79818,1,I5,N,,N,,,BEDKOT BRANCH,7,BOAN,KANCH,2024-07-26T21:28:51,18,2018-01-09T15:27:05,185,NPT,0,,,,SETI,,,Y,C,BED,2018-11-06T06:53:51,2018-01-09T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,I5,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-09T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
DADELDHURA,,,ALL,I6,2592,1,I6,N,,N,,,DADELDHURA BRANCH,7,BOAN,DADEL,2024-07-26T21:28:51,18,2018-01-09T16:04:32,186,NPT,0,,,,SETI,,,Y,C,DAD,2018-11-06T06:53:51,2018-01-09T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,I6,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-09T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
MAHADEVBESI,,,ALL,J1,97385,1,J1,N,,N,,,MAHADEVBESI BRANCH,7,BOAN,KATH,2024-07-26T21:28:51,18,2018-01-31T15:35:13,191,NPT,0,,,,BAGMA,,,Y,C,MAH,2018-11-06T06:53:51,2018-01-31T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,J1,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-31T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
DHARKE,,,ALL,J2,7328,1,J2,N,,N,,,DHARKE BRANCH,7,BOAN,KATH,2024-07-26T21:28:51,18,2018-01-31T16:33:48,192,NPT,0,,,,BAGMA,,,Y,C,DHA,2018-11-06T06:53:51,2018-01-31T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,J2,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-31T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
BETRAWATI,,,ALL,J3,20124,1,J3,N,,N,,,BETRAWATI BRANCH,7,BOAN,KATH,2024-07-26T21:28:51,18,2018-02-01T14:54:30,193,NPT,0,,,,BAGMA,,,Y,C,BET,2018-11-06T06:53:51,2018-02-01T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,J3,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-02-01T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
TRISHULI,,,ALL,J5,94876,1,J5,N,,N,,,TRISHULI BRANCH,7,BOAN,KATH,2024-07-26T21:28:51,18,2018-02-01T18:12:58,195,NPT,0,,,,BAGMA,,,Y,C,TRI,2018-11-06T06:53:51,2018-02-01T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,J5,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-02-01T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
LUMBINI,,,ALL,J8,6987,1,J8,N,,N,,,LUMBINI BRANCH,7,BOAN,LUMBI,2024-07-26T21:28:51,18,2018-02-04T12:12:22,198,NPT,0,,,,LUMBI,,,Y,C,LUM,2018-11-06T06:53:51,2018-02-04T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,J8,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-02-04T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
LABANI,,,ALL,J9,89231,1,J9,N,,N,,,LABANI BRANCH,7,BOAN,LUMBI,2024-07-26T21:28:51,18,2018-02-04T13:04:15,199,NPT,0,,,,LUMBI,,,Y,C,LAB,2018-11-06T06:53:51,2018-02-04T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,J9,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-02-04T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
TAMGHAS,,,ALL,K0,37776,1,K0,N,,N,,,TAMGHAS BRANCH,7,BOAN,LUMBI,2024-07-26T21:28:51,18,2018-02-04T13:22:51,200,NPT,0,,,,LUMBI,,,Y,C,TAM,2018-11-06T06:53:51,2018-02-04T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,K0,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-02-04T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
JHAPA BAZAR,,,ALL,K2,95056,1,K2,N,,N,,,JHAPA BAZAR BRANCH,7,BOAN,JHAPA,2024-07-26T21:28:51,18,2018-02-04T15:34:44,202,NPT,0,,,,MECHI,,,Y,C,JHA,2018-11-06T06:53:51,2018-02-04T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,K2,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-02-04T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
SANISHARE,,,ALL,K4,48767,1,K4,N,,N,,,SANISHARE BRANCH,7,BOAN,JHAPA,2024-07-26T21:28:51,18,2018-03-29T13:12:02,204,NPT,0,,,,MECHI,,,Y,C,SAN,2018-11-06T06:53:51,2018-03-29T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,K4,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-03-29T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
SUNWAL,,,ALL,K6,11689,1,K6,N,,N,,,SUNWAL BRANCH,7,BOAN,NAWAL,2024-07-26T21:28:51,18,2018-03-29T16:45:49,206,NPT,0,,,,LUMBI,,,Y,C,SUN,2018-11-06T06:53:51,2018-03-29T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,K6,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-03-29T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
BAGMATI,,,ALL,K7,96573,1,K7,N,,N,,,BAGMATI BRANCH,7,BOAN,SARLA,2024-07-26T21:28:51,18,2018-03-29T17:23:46,207,NPT,0,,,,JANAK,,,Y,C,BAG,2018-11-06T06:53:51,2018-03-29T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,K7,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-03-29T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
