ADDR_1,ADDR_2,ADDR_3,SDL_ID,SOL_ID,TS_CNT,BANK_ID,BR_CODE,DEL_FLG,DP_CODE,FAB_FLG,MRS_NAME,PIN_CODE,SOL_DESC,WKLY_OFF,BANK_CODE,CITY_CODE,LCHG_TIME,MINOR_AGE,RCRE_TIME,SOL_ALIAS,TIME_ZONE,WKLY_OFF2,CNTRY_CODE,LICENSE_NO,PAN_GIR_NO,STATE_CODE,ENTITY_NAME,REGION_NAME,SOL_CLS_FLG,SOL_NAT_FLG,ABBR_BR_NAME,BOD_SYS_DATE,BR_OPEN_DATE,BR_STAT_CODE,CS_SOL_MESG1,CS_SOL_MESG2,DB_STAT_CODE,EXTERNAL_SOL,LCHG_USER_ID,RCRE_USER_ID,SOL_BOD_DATE,SOL_CLS_DATE,SOL_PRIORITY,ALT1_SOL_DESC,CUT_OVER_TIME,DIVISION_NAME,PROFIT_CENTER,TR_ENABLE_FLG,ABBR_BANK_NAME,ATM_JOB_STATUS,BR_FREE_CODE_1,BR_FREE_CODE_2,BR_FREE_CODE_3,BR_FREE_CODE_4,BR_FREE_CODE_5,BR_FREE_CODE_6,BR_FREE_CODE_7,BR_FREE_CODE_8,BR_FREE_CODE_9,CLG_CENTRE_NUM,DDN_WARN_LEVEL,EXTN_CNTR_CODE,HIGH_VALUE_SOL,MICR_BANK_CODE,PREF_LANG_CODE,SOL_EOD_STATUS,BATCH_OPER_DATE,BR_FREE_CODE_10,CTS_ENABLED_FLG,DB_STAT_USER_ID,HOME_CRNCY_CODE,LOCAL_IMAGE_FLG,MICR_CENTRE_FLG,PARTITION_ALIAS,REFERRAL_SET_ID,STOP_CLG_FT_FLG,TDS_CIRCLE_NAME,TREA_FREE_TEXT1,TREA_FREE_TEXT2,UNIFORM_BR_CODE,DB_INT_STAT_CODE,MENU_DISABLE_FLG,MICR_BRANCH_CODE,MICR_CENTRE_CODE,STOP_CASH_FT_FLG,STOP_XFER_FT_FLG,TAX_DEDN_DETAILS,BRANCH_IP_ADDRESS,CS_SOL_NATL_MESG1,CS_SOL_NATL_MESG2,DESTRY_INVT_CLASS,LAST_SI_EXEC_DATE,TDS_CERT_NUM_CODE,TYPE_OF_CASH_ACCT,CIRCLE_OFFICE_NAME,NEXT_CUST_NUM_CODE,PDC_INSTL_RUN_DATE,PREF_LANG_SOL_DESC,TR_HOME_CRNCY_CODE,BRANCH_REF_PORT_NUM,REROUTE_STP_ALLOWED,DATE_OF_INSTALLATION,DESTRY_INVT_LOCATION,FC_VAULT_LIMIT_IN_HC,HC_VAULT_LIMIT_IN_HC,NUM_OF_TIMES_IBR_GEN,OSP_MAX_OUT_STD_DAYS,INSTRMNT_WISE_REG_ALWD,RECEIVE_ALL_IMAGES_FLG,SOL_RESTARTABILITY_FLG,SAME_DAY_REV_TO_IBR_FLG,CONSOL_VAULT_LIMIT_IN_HC,DDN_WARN_LEVEL_EXCP_CODE,VALUE_DATING_ON_HOLIDAYS,INSTRMNT_ENCODE_BATCH_NUM,INSTRMNT_ENCODE_BLOCK_NUM,LAST_INT_CALC_DATE_FOR_SB,USER_CLG_DR_LIM_EXCP_CODE,EXT_EOD_NOT_COMP_EXCP_CODE,USER_CASH_DR_LIM_EXCP_CODE,USER_XFER_DR_LIM_EXCP_CODE,PROXY_NOT_SQUARED_EXCP_CODE,PROXY_PEND_VERIFN_EXCP_CODE,ALL_EXT_TRANS_PROC_EXCP_CODE,updated_at
"PANAUTI MUNICIPALITY, WARD NO. 06","PANAUTI,KAVRE",,ALL,Y8,39846,1,Y8,N,,N,,,PANAUTI BRANCH,7,BOAN,KAVRE,2024-07-26T21:30:02,18,2021-02-24T13:59:09,348,NPT,0,NP,,,KAVRE,,,Y,C,PAN,,2021-02-24T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-02-24T00:00:00.000000,,N,,NPR,N,N,Y8,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-02-24T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
"BENI-07,MYAGDI",WARIBENI,,ALL,Y9,44479,1,Y9,N,,N,,,BENI MYAGDI BRANCH,7,BOAN,BAGLU,2024-07-26T21:30:02,18,2021-02-24T14:05:30,349,NPT,0,NP,,,BAGLU,,,Y,C,BEN,,2021-02-24T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-02-24T00:00:00.000000,,N,,NPR,N,N,Y9,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-02-24T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
"SIDDHARTHANAGAR MUNICIPALITY, WARD NO. 13",BHAIRAHAWA,,ALL,Z0,63044,1,Z0,N,,N,,,DEVKOTA CHOWK BRANCH,7,BOAN,BHAIR,2024-07-26T21:30:02,18,2021-02-24T14:10:38,350,NPT,0,NP,,,RUPAN,,,Y,C,DEV,,2021-02-24T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-02-24T00:00:00.000000,,N,,NPR,N,N,Z0,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-02-24T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
"KRISHNANAGAR MUNICIPALITY, WARD NO. 08","BAHADURGUNJ, KAPILVASTU",,ALL,Z3,93189,1,Z3,N,,N,,,BAHADURGUNJ BRANCH,7,BOAN,DEVIN,2024-07-26T21:30:02,18,2021-02-24T14:35:59,353,NPT,0,NP,,,KAPIL,,,Y,C,BAH,,2021-02-24T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-02-24T00:00:00.000000,,N,,NPR,N,N,Z3,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-02-24T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
PURANO NAIKAP BRANCH,,,ALL,Z7,45833,1,Z7,N,,N,,,PURANO NAIKAP BRANCH,7,BOAN,,2024-07-26T21:30:02,18,2021-04-22T17:09:20,357,NPT,0,NP,,,KATHM,,,Y,C,PUR,,2021-04-22T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-04-22T00:00:00.000000,,N,,NPR,N,N,Z7,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-04-22T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
KHADICHAUR,"BALEFI GAUNPALIKA, WARD NO. 05",,ALL,Y7,56683,1,Y7,N,,N,,,BALEFI BRANCH,7,BOAN,BHAKT,2024-07-26T21:30:02,18,2021-02-24T13:51:22,347,NPT,0,NP,,,BHAKT,,,Y,C,BAL,,2021-02-24T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-02-24T00:00:00.000000,,N,,NPR,N,N,Y7,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-02-24T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
KAILARI GAUPALIKA-01,"HASULIYA, KAILALI",,ALL,Z5,80629,1,Z5,N,,N,,,HASULIYA BRANCH,7,BOAN,KAILA,2024-07-26T21:30:02,18,2021-02-24T14:43:24,355,NPT,0,NP,,,KAILA,,,Y,C,HAS,,2021-02-24T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-02-24T00:00:00.000000,,N,,NPR,N,N,Z5,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-02-24T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
HILE,DHARAN,,ALL,Y4,41362,1,Y4,N,,N,,,MAHALAXMI BRANCH,7,BOAN,SUNSA,2024-07-26T21:30:02,18,2021-02-24T13:02:57,344,NPT,0,NP,,,SUNSA,,,Y,C,MAH,,2021-02-24T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-02-24T00:00:00.000000,,N,,NPR,N,N,Y4,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-02-24T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
KALAIYA,BIRGUNJ,,ALL,Y5,4262,1,Y5,N,,N,,,MAHAGADHIMAI BRANCH,7,BOAN,BIRGU,2024-07-26T21:30:02,18,2021-02-24T13:24:38,345,NPT,0,NP,,,PARSA,,,Y,C,MAH,,2021-02-24T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-02-24T00:00:00.000000,,N,,NPR,N,N,Y5,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-02-24T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
SABAILA MUNICIPALITY,"WARD NO. 03,JANAKPUR",,ALL,Y6,41516,1,Y6,N,,N,,,SABAILA BRANCH,7,BOAN,JANAK,2024-07-26T21:30:02,18,2021-02-24T13:35:59,346,NPT,0,NP,,,DHANU,,,Y,C,SAB,,2021-02-24T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-02-24T00:00:00.000000,,N,,NPR,N,N,Y6,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-02-24T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
TAMNAGAR BRANCH,,,ALL,Z9,70418,1,Z9,N,,N,,,TAMNAGAR BRANCH,7,BOAN,,2024-07-26T21:30:02,18,2021-04-22T17:20:22,359,NPT,0,NP,,,RUPAN,,,Y,C,TAM,,2021-04-22T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-04-22T00:00:00.000000,,N,,NPR,N,N,Z9,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-04-22T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
"SIYARI GAUNPALIKA, WARD NO. 03",RUPANDEHI,,ALL,Z1,80161,1,Z1,N,,N,,,SIYARI BRANCH,7,BOAN,DEVIN,2024-07-26T21:30:02,18,2021-02-24T14:24:23,351,NPT,0,NP,,,RUPAN,,,Y,C,SIY,,2021-02-24T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-02-24T00:00:00.000000,,N,,NPR,N,N,Z1,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-02-24T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
"GADAWA GAUNPALIKA, WARD NO. 06","GADAWA, DANG",,ALL,Z2,67696,1,Z2,N,,N,,,GADAWA BRANCH,7,BOAN,DANG,2024-07-26T21:30:02,18,2021-02-24T14:31:47,352,NPT,0,NP,,,DANG,,,Y,C,GAD,,2021-02-24T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,SL3843,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2021-02-24T00:00:00.000000,,N,,NPR,N,N,Z2,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2021-02-24T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
TILOTAMMA MUNICIPALITY WARD NO  03  RUPANDEH,,,ALL,X5,59392,1,X5,N,,N,,,DINGARNAGAR BRANCH,7,BOAN,RUPAN,2024-07-26T21:30:02,18,2020-12-09T17:26:44,335,NPT,0,NP,,,RUPAN,,,Y,C,DIN,,2020-12-09T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y,N,FINADMIN,BJ2774,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,, ,2020-12-09T00:00:00.000000,,N,,NPR,N,N,X5,,C,,,,,, ,,, , ,,,,,,,TDS,T,,,,,,0, ,2020-12-09T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
TRIPURESHWOR,,,ALL,01,13451,1,01,N,,N,,,TRIPURESWOR,7,BOAN,KATHM,2024-08-23T20:52:38,18,2007-09-28T15:34:09,1,NPT,0,,,,BAGMA,,,Y,C,TRI,2018-11-06T06:53:51,2007-09-12T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,01,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2007-10-12T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
MAIN ROAD,BIRATNAGAR,,ALL,02,90940,1,02,N,,N,,,BIRATNAGAR BRANCH,7,BOAN,BIRAT,2024-08-23T20:52:38,18,2008-01-29T16:30:09,2,NPT,0,,,,KOSHI,,,Y,C,BRT,2018-11-06T06:53:51,2008-01-29T00:00:00.000000, ,growing together,,Y, ,FINADMIN,BAPINR,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,02,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2008-01-29T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
NEW ROAD- BISHAL BAZAR,,,ALL,30,51399,1,30,N,,N,,,NEW ROAD - BISHAL BAZAR BRANCH,7,BOAN,KATHM,2024-08-23T20:52:38,18,2013-06-06T16:24:42,30,NPT,0,,,,BAGMA,,,Y,C,BIS,2018-11-06T06:53:51,2013-06-06T00:00:00.000000, ,,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,30,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2013-06-06T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
DILLIBAZAR BRANCH,,,ALL,29,88324,1,29,N,,N,,,DILLIBAZAR BRANCH,7,BOAN,KATHM,2024-08-23T20:52:38,18,2010-04-05T11:13:56,29,NPT,0,,,,BAGMA,,,Y,C,DBZ,2018-11-06T06:53:51,2010-04-05T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,29,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2010-04-05T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
SUKEDHRA BRANCH,,,ALL,28,15108,1,28,N,,N,,,SUKEDHARA BRANCH,7,BOAN,KATHM,2024-08-23T20:52:38,18,2010-04-05T11:07:49,28,NPT,0,,,,BAGMA,,,Y,C,SDR,2018-11-06T06:53:51,2010-04-05T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,28,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2010-04-05T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
DHANGADI,,,ALL,25,42849,1,25,N,,N,,,DHANGADI BRANCH,7,BOAN,DHANG,2024-08-23T20:52:38,18,2010-03-07T18:27:57,25,NPT,0,,,,SAGAR,,,Y,C,DGD,2018-11-06T06:53:51,2010-03-07T00:00:00.000000, ,growing together,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,25,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2010-03-07T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
MAHENDRANAGAR,,,ALL,24,19718,1,24,N,,N,,,MAHENDRANAGAR BRANCH,7,BOAN,MAHEN,2024-08-23T20:52:38,18,2010-03-07T18:20:42,24,NPT,0,,,,MAHAK,,,Y,C,MNG,2018-11-06T06:53:51,2010-03-07T00:00:00.000000, ,growing together,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,24,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2010-03-07T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
DHARAN,,,ALL,23,54234,1,23,N,,N,,,DHARAN BRANCH,7,BOAN,DHARA,2024-08-23T20:52:38,18,2010-02-07T12:58:05,23,NPT,0,,,,KOSHI,,,Y,C,DRN,2018-11-06T06:53:51,2010-02-07T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,23,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2010-02-07T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
KHUMALTAR BRANCH,LALITPUR,,ALL,27,36846,1,27,N,,N,,,KHUMALTAR BRANCH,7,BOAN,LALIT,2024-08-23T20:52:38,18,2010-03-16T12:43:45,27,NPT,0,,,,BAGMA,,,Y,C,KMR,2018-11-06T06:53:51,2010-03-16T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,27,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2010-03-16T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
GWARKO,LALITPUR,,ALL,26,77040,1,26,N,,N,,,GWARKO BRANCH,7,BOAN,LALIT,2024-08-23T20:52:38,18,2010-03-16T12:43:45,26,NPT,0,,,,BAGMA,,,Y,C,GWK,2018-11-06T06:53:51,2010-03-16T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,26,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2010-03-16T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
BIRGUNJ,,,ALL,22,37970,1,22,N,,N,,,BIRGUNJ BRANCH,7,BOAN,BIRGU,2024-08-23T20:52:38,18,2009-08-31T12:34:09,22,NPT,0,,,,NARAY,,,Y,C,BRG,2018-11-06T06:53:51,2009-08-31T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,22,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2009-08-31T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
NEPALGUNJ,,,ALL,20,61921,1,20,N,,N,,,NEPALGUNJ BRANCH,7,BOAN,NEPAL,2024-08-23T20:52:38,18,2009-05-13T12:45:42,20,NPT,0,,,,BHERI,,,Y,C,NPJ,2018-11-06T06:53:51,2009-05-25T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,20,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2009-05-13T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
BAGBAZAAR  BRANCH,KATHMANDU,,ALL,19,84363,1,19,N,,N,,,BAGBAZAAR BRANCH,7,BOAN,KATHM,2024-08-23T20:52:38,18,2009-05-13T12:41:49,19,NPT,0,,,,BAGMA,,,Y,C,BAG,2018-11-06T06:53:51,2009-05-25T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,19,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2009-05-13T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
BOUDDHA BRANCH,KATHMANDU,,ALL,18,43632,1,18,N,,N,,,BOUDDHA BRANCH,7,BOAN,KATHM,2024-08-23T20:52:38,18,2009-05-13T12:37:39,18,NPT,0,,,,BAGMA,,,Y,C,BDH,2018-11-06T06:53:51,2009-05-25T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-08-24T00:00:00.000000,2024-08-23T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,01,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2009-05-13T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-08-23T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-29 05:00:52.345
