mro_code,mro_acc_code,mro_mer_code,mro_sys_code,mro_tran_code,mro_tran_curr_code,updated_at
1629,2414559,2429461,,,150,2024-08-07 07:05:08.091
1649,2415139,2429861,,,150,2024-08-07 07:05:08.091
1670,2415860,2430281,,,150,2024-08-07 07:05:08.091
1689,2415879,2430661,,,150,2024-08-07 07:05:08.091
1709,2417419,2431061,,,150,2024-08-07 07:05:08.091
1710,2417420,2431081,,,150,2024-08-07 07:05:08.091
1711,2417421,2431101,,,150,2024-08-07 07:05:08.091
1712,2417422,2431121,,,150,2024-08-07 07:05:08.091
1713,2417423,2431141,,,150,2024-08-07 07:05:08.091
1714,2417424,2431161,,,150,2024-08-07 07:05:08.091
1715,2417425,2431181,,,150,2024-08-07 07:05:08.091
1716,2417426,2431201,,,150,2024-08-07 07:05:08.091
1717,2417427,2431221,,,150,2024-08-07 07:05:08.091
1718,2417428,2431241,,,150,2024-08-07 07:05:08.091
1719,2417429,2431261,,,150,2024-08-07 07:05:08.091
1729,2417439,2431461,,,150,2024-08-07 07:05:08.091
1749,2417499,2431861,,,150,2024-08-07 07:05:08.091
1750,2417500,2431881,,,150,2024-08-07 07:05:08.091
1751,2417501,2431901,,,150,2024-08-07 07:05:08.091
1752,2417502,2431921,,,150,2024-08-07 07:05:08.091
1753,2417503,2431941,,,150,2024-08-07 07:05:08.091
1754,2417504,2431961,,,150,2024-08-07 07:05:08.091
1755,2417505,2431981,,,150,2024-08-07 07:05:08.091
1756,2417506,2432001,,,150,2024-08-07 07:05:08.091
1757,2417507,2432021,,,150,2024-08-07 07:05:08.091
1758,2417508,2432041,,,150,2024-08-07 07:05:08.091
1759,2417509,2432061,,,150,2024-08-07 07:05:08.091
1760,2417510,2432081,,,150,2024-08-07 07:05:08.091
1761,2417511,2432101,,,150,2024-08-07 07:05:08.091
1762,2417512,2432121,,,150,2024-08-07 07:05:08.091
1763,2417513,2432141,,,150,2024-08-07 07:05:08.091
1764,2417514,2432161,,,150,2024-08-07 07:05:08.091
1765,2417515,2432181,,,150,2024-08-07 07:05:08.091
1766,2417516,2432201,,,150,2024-08-07 07:05:08.091
1767,2417517,2432221,,,150,2024-08-07 07:05:08.091
1768,2417518,2432241,,,150,2024-08-07 07:05:08.091
1769,2417519,2432261,,,150,2024-08-07 07:05:08.091
1770,2417520,2432281,,,150,2024-08-07 07:05:08.091
1771,2417521,2432301,,,150,2024-08-07 07:05:08.091
1772,2417522,2432321,,,150,2024-08-07 07:05:08.091
1773,2417523,2432341,,,150,2024-08-07 07:05:08.091
1774,2417524,2432361,,,150,2024-08-07 07:05:08.091
1775,2417525,2432381,,,150,2024-08-07 07:05:08.091
1776,2417526,2432401,,,150,2024-08-07 07:05:08.091
1777,2417527,2432421,,,150,2024-08-07 07:05:08.091
