Schm_code,Schm_Desc (Product),Schm_Type,Product Category,Product Sub-Category,updated_at
PDSC688, SUPER UTTAM JESTHA NAGARIK BACHAT KHATA - SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1707, SUPER UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC574,UTTAM BACHAT KHATA- DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1114, SUPER UTTAM BACHAT KHATA - SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1846, SUPER UTTAM JESTHA NAGARIK BACHAT KHATA - DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1552, SUPER UTTAM SAHAJ BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1632,UTTAM NARI BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC407, SUPER UTTAM BACHAT KHATA - DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1055,UTTAM BACHAT KHATA- DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC627,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1622,UTTAM BABU NANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1841, SUPER UTTAM NARI BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC600, SUPER UTTAM BACHAT KHATA - GOLD ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1618, SUPER UTTAM BACHAT KHATA - SILVER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1112,UTTAM JESTHA NAGARIK BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC577,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC293, PRE SAMUNATI BCHT KHATA NPO,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1175, SUPER UTTAM SWAROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1775, SUPER UTTAM BACHAT KHATA - DIAMOND ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1604, SUPER UTTAM TALAB BACHAT KHATA NORMAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1272,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1783, SUPER UTTAM NARI BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1010, SUPER UTTAM TALAB BACHAT KHATA PRIME,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC693, SUPER UTTAM BABU NANI BACHAT KHATA ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1671,UTTAM NARI BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
