schm_code_t,Schm_code,Schm_Desc (Product)
PDSC412,SD033,SAGARMATHA DOUBLE DEPOSIT
PDSC834,SD032,SAGARMATHA DOUBLE DEPOSIT
PDSC186,SD038,UTTAM BACHAT KHATA- SILVER
PDSC1365,SD037,UTTAM BACHAT KHATA- SILVER
PDSC285,SD039,UTTAM BACHAT KHATA- SILVER
PDSC1446,CBSAV,UTTAM NARI BACHAT KHATA-SILVER
PDSC890,DBSAV,DAKSHINA BACHAT KHATA
PDSC897,BNSAV,UTTAM BABU NANI BACHAT KHATA
PDSC291,CBOSA,UTTAM NARI BACHAT KHATA-SILVER
PDSC1166,SD042,SAGARMATHA COLLEGE/SCHOOL PAYROLL ACCOUNT
PDSC100,SD060,UTTAM BACHAT KHATA- GOLD
PDSC1760,SD044,SAGARMATHA COLLEGE/SCHOOL STUDENT ACCOUNT
PDSC287,DENSA,SAGARMATHA DEVELOPMENT AND EMBASSY NGO
PDSC384,DEISA,SAGARMATHA DEVELOPMENT AND EMBASSY INGO
PDSC439,DETSA,SAGARMATHA DEVELOPMENT AND EMBASSY NPO/TRUST
PDSC1866,SD040,UTTAM BACHAT KHATA-GENERAL
PDSC985,SD041,UTTAM TALAB BACHAT KHATA
PDSC1011,SD043,SAGARMATHA UNIVERSITY PAYROLL ACCOUNT
PDSC1825,SD045,SAGARMATHA UNIVERSITY STUDENT ACCOUNT
PDSC237,SD046,SAGARMATHA HEALTH PAYROLL ACCOUNT
PDSC885,SD048,SAGARMATHA SIA  BFI SECTOR PAYROLL ACCOUNT
PDSC1358,SD052,USD PREMIUM SAVING ACCOUNT
PDSC1424,SD053,UTTAM BACHAT KHATA-GENERAL
PDSC348,SD058,LIFE INSURANCE SECTOR SAVING ACCOUNT
PDSC805,SD057,PRIVATE CORPORATE SECTOR PAYROLL ACCOUNT
PDSC474,SD055,UTTAM UDHYAMSHIL BACHAT KHATA
PDSC218,SD049,SAGARMATHA SIA  INSURANCE SECTOR PAYROLL ACCOUNT
PDSC484,SD050,SAGARMATHA GOVERNMENT/PUBLIC PAYROLL ACCONUT
PDSC605,SD047,SAGARMATHA SIA PRIORITY SECTOR PAYROLL ACOOUNT
PDSC655,SD056,UTTAM BAIDESHIK ROJGAR BACHAT KHATA
PDSC277,SD051,SAGARMATHA SIA  MINISTRY BASED STRUCTURE PAYROLL ACCOUNT
PDSC1292,SD054,SAGARMATHA TOURISM PAYROLL ACCOUNT
PDSC1433,SD066,UTTAM NARI BACHAT KHATA-GOLD
PDSC732,SD068,UTTAM TALAB BACHAT KHATA
PDSC338,SD075,UTTAM BACHAT KHATA-GENERAL
