Schm_code,Schm_Desc (Product),Schm_Type,Product Category,Product Sub-Category,updated_at
SD121, SUPER UTTAM SAHAJ BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD101,UTTAM NARI BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD108, SUPER UTTAM BACHAT KHATA - DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD079,UTTAM BACHAT KHATA- DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD103,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD097,UTTAM BABU NANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD117, SUPER UTTAM NARI BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD125, SUPER UTTAM BACHAT KHATA - GOLD ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD126, SUPER UTTAM BACHAT KHATA - SILVER ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD099,UTTAM JESTHA NAGARIK BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD094,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD106, PRE SAMUNATI BCHT KHATA NPO,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD119, SUPER UTTAM SWAROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD124, SUPER UTTAM BACHAT KHATA - DIAMOND ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD122, SUPER UTTAM TALAB BACHAT KHATA NORMAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD105,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD116, SUPER UTTAM NARI BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD120, SUPER UTTAM TALAB BACHAT KHATA PRIME,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD123, SUPER UTTAM BABU NANI BACHAT KHATA ONLINE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD102,UTTAM NARI BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD098,UTTAM JESTHA NAGARIK BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD100,UTTAM JESTHA NAGARIK BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD104,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
