mac_tcc,mac_code,mac_iden,mac_labe,updated_at
,19641,1,TEST,2024-08-07 07:05:07.198
,19661,2,MerchatCat2wxwx,2024-08-07 07:05:07.198
,20041,666,Test,2024-08-07 07:05:07.198
,20441,998,Test,2024-08-07 07:05:07.198
,21241,4892,TEST_PRAKASH,2024-08-07 07:05:07.198
,21641,3839,Kyoritsu Hotels,2024-08-07 07:05:07.198
,21661,5723,Gun and Ammunition Store,2024-08-07 07:05:07.198
,22041,742,Veterinary services,2024-08-07 07:05:07.198
,22061,3419,ALPHA RENT-A-CAR,2024-08-07 07:05:07.198
,22081,3440,VIA ROUTE RENT-A-CAR,2024-08-07 07:05:07.198
,22101,5262,Online marketplaces (e-commerce or mobile application),2024-08-07 07:05:07.198
,22121,7778,Citishare Cash Advance,2024-08-07 07:05:07.198
,22141,3070,Fly Dubai,2024-08-07 07:05:07.198
,22161,3303,Tigerair,2024-08-07 07:05:07.198
,22181,3308,China Southern,2024-08-07 07:05:07.198
,22201,9406,"GOVERNMENT-OWNED LOTTERY GLOBAL, EXCLUDING U.S. REGION",2024-08-07 07:05:07.198
,22221,3301,Wizz Air,2024-08-07 07:05:07.198
,22241,3300,AZUL AIR,2024-08-07 07:05:07.198
,22441,4829,WIRE TRANSFER MONEY ORDERS,2024-08-07 07:05:07.198
,22461,5960,Direct Marketing insurance S,2024-08-07 07:05:07.198
,22841,6010,FIN INST MANUAL CASH,2024-08-07 07:05:07.198
A,23241,3168,Hainan Airlines,2024-08-07 07:05:07.198
R,1000000,4899,CABLE/SAT/TV/RADIO            ,2024-08-07 07:05:07.198
R,1000400,9399,GOVERNMENT SERVICES           ,2024-08-07 07:05:07.198
R,1000800,5972,STAMP & COIN STORES           ,2024-08-07 07:05:07.198
R,1000820,7349,CLEANING & MAINTENAN          ,2024-08-07 07:05:07.198
R,1001200,6012,FINANCIAL INSTITUTIO          ,2024-08-07 07:05:07.198
R,1001600,8111,"LEGAL SERVICES,ATTOR          ",2024-08-07 07:05:07.198
R,1001620,8699,MEMBERSHIP ORGANIZAT          ,2024-08-07 07:05:07.198
R,1002800,9402,POSTAGE STAMPS                ,2024-08-07 07:05:07.198
R,1003600,7278,BUYING/SHOPPING SERV          ,2024-08-07 07:05:07.198
R,1004000,3560,ALADDIN RESORTCASINO          ,2024-08-07 07:05:07.198
R,1004020,3079,JETSTAR AIRWAYS               ,2024-08-07 07:05:07.198
R,1004040,3131,VLM AIRLINES                  ,2024-08-07 07:05:07.198
R,1004400,5261,"NURSERIES,LAWN & GAR          ",2024-08-07 07:05:07.198
R,1004800,1711,"HEATING,PLUMBING,AIR          ",2024-08-07 07:05:07.198
R,1004820,5451,DAIRY PRODUCTS STORE          ,2024-08-07 07:05:07.198
R,1005200,5422,FREEZER AND LOCKER M          ,2024-08-07 07:05:07.198
T,1005600,7375,INFO RETRIEVAL SERVI          ,2024-08-07 07:05:07.198
R,1006000,3019,GRMNMNGSAIR                   ,2024-08-07 07:05:07.198
R,1006020,3059,DBA AIR                       ,2024-08-07 07:05:07.198
R,1006040,3062,HLX AIR                       ,2024-08-07 07:05:07.198
R,1006060,3608,GAYLORD OPRYLAND              ,2024-08-07 07:05:07.198
R,1006080,3609,GAYLORD PALMS                 ,2024-08-07 07:05:07.198
R,1006100,3613,MICROTEL INNS                 ,2024-08-07 07:05:07.198
R,1006580,5331,VARIETY STORES                ,2024-08-07 07:05:07.198
X,1006980,4789,TRANSPORTATION SERVI          ,2024-08-07 07:05:07.198
,1007780,3819,Oxfor Suites,2024-08-07 07:05:07.198
,1007800,3820,Jumierah Essex Hous,2024-08-07 07:05:07.198
,1007820,3821,Cribe Royale,2024-08-07 07:05:07.198
X,1007840,3072,CEBU PAC                      ,2024-08-07 07:05:07.198
X,1008180,3186,LAP (PARAGUAY)                ,2024-08-07 07:05:07.198
X,1008200,3187,LACSA                         ,2024-08-07 07:05:07.198
X,1008220,3190,JUGOSLAV AIR                  ,2024-08-07 07:05:07.198
X,1008240,3191,ISLAND AIRLINES               ,2024-08-07 07:05:07.198
X,1008260,3192,IRAN NATIONAL                 ,2024-08-07 07:05:07.198
X,1008280,3193,INDIAN AIRLINES               ,2024-08-07 07:05:07.198
X,1008300,3196,HAWAIIAN AIR                  ,2024-08-07 07:05:07.198
X,1008320,3197,HAVASU AIRLINES               ,2024-08-07 07:05:07.198
X,1008340,3200,GUYANA AIRWAYS                ,2024-08-07 07:05:07.198
X,1008360,3203,GOLDEN PACIFIC AIR            ,2024-08-07 07:05:07.198
X,1008380,3204,FREEDOM AIRLINES              ,2024-08-07 07:05:07.198
X,1008400,3212,DOMINICANA                    ,2024-08-07 07:05:07.198
X,1008420,3215,DAN AIR SERVICES              ,2024-08-07 07:05:07.198
X,1008440,3216,CUMBERLAND AIRLINES           ,2024-08-07 07:05:07.198
X,1008460,3217,CSA                           ,2024-08-07 07:05:07.198
X,1008480,3218,CROWN AIR                     ,2024-08-07 07:05:07.198
X,1008500,3219,COPA                          ,2024-08-07 07:05:07.198
X,1008520,3220,COMPANIA FAUCETT              ,2024-08-07 07:05:07.198
X,1008540,3221,TRANSPORTES AEREOS M          ,2024-08-07 07:05:07.198
X,1008560,3222,COMMAND AIRWAYS               ,2024-08-07 07:05:07.198
X,1008580,3223,COMAIR                        ,2024-08-07 07:05:07.198
X,1008600,3228,CAYMAN AIRWAYS                ,2024-08-07 07:05:07.198
X,1008620,3229,SAETA                         ,2024-08-07 07:05:07.198
X,1008640,3231,SAHSA                         ,2024-08-07 07:05:07.198
X,1008660,3233,CAPITOL AIR                   ,2024-08-07 07:05:07.198
X,1008680,3234,CARIBBEAN AIRLINES            ,2024-08-07 07:05:07.198
X,1008700,3235,BROCKWAY AIR                  ,2024-08-07 07:05:07.198
X,1008720,3238,BEMIDJI AVIATION              ,2024-08-07 07:05:07.198
X,1008740,3239,BAR HARBOR AIRLINES           ,2024-08-07 07:05:07.198
X,1008760,3240,BAHAMASAIR                    ,2024-08-07 07:05:07.198
X,1008780,3241,AVIATECA (GUATEMALA)          ,2024-08-07 07:05:07.198
X,1008800,3242,AVENSA                        ,2024-08-07 07:05:07.198
X,1008820,3243,AUSTRIAN AIR SERVICE          ,2024-08-07 07:05:07.198
