mac_tcc,mac_code,mac_iden,mac_labe,updated_at
T,1017980,5021,OFFICE AND COMMERCIA          ,2024-08-07 07:05:07.198
T,1018000,5044,OFFICE/PHOTOGR/CPY/M          ,2024-08-07 07:05:07.198
T,1018020,5046,COMMERCIAL EQUIPMENT          ,2024-08-07 07:05:07.198
T,1018040,5051,METAL SERVICE CENTRE          ,2024-08-07 07:05:07.198
T,1018060,5074,PLUMBING/HEATING EQU          ,2024-08-07 07:05:07.198
T,1018080,5085,INDUSTRIAL SUPPLIES           ,2024-08-07 07:05:07.198
T,1018100,5094,PRECIOUS STONES/META          ,2024-08-07 07:05:07.198
T,1018120,5099,DURABLE GOODS N-ELSE          ,2024-08-07 07:05:07.198
T,1018140,5111,STATIONERY/OFF-SUPP/          ,2024-08-07 07:05:07.198
T,1018160,5122,DRUGS/DRUG PROPRIAT/          ,2024-08-07 07:05:07.198
T,1018180,5131,PIECE GOODS/NATIONS           ,2024-08-07 07:05:07.198
T,1018200,5137,MEN/WOMEN/CHILD UNIF          ,2024-08-07 07:05:07.198
T,1018220,5139,COMMERCIAL FOOTWEAR           ,2024-08-07 07:05:07.198
T,1018240,5169,CHEMICALS/ALLIED PRO          ,2024-08-07 07:05:07.198
T,1018260,5172,PETROLEUM/PETROL PRO          ,2024-08-07 07:05:07.198
T,1018280,5199,NONDURABLE GOODS N-E          ,2024-08-07 07:05:07.198
R,1018300,5300,WHOLESALE CLUBS               ,2024-08-07 07:05:07.198
T,1018320,7829,MOTION PICTURE/VIDEO          ,2024-08-07 07:05:07.198
T,1018340,8734,TESTING LABS NON-MED          ,2024-08-07 07:05:07.198
H,1018360,3723,RICA HOTELS                   ,2024-08-07 07:05:07.198
X,1018380,4723,TOUR OPERATORS GERMA          ,2024-08-07 07:05:07.198
H,1018400,3514,AMERISUITES                   ,2024-08-07 07:05:07.198
H,1018420,3746,THE ELIOT HOTEL               ,2024-08-07 07:05:07.198
H,1018440,3757,CANYON RANCH                  ,2024-08-07 07:05:07.198
H,1018460,3758,KAHALA MANDARIN ORIE          ,2024-08-07 07:05:07.198
H,1018480,3759,ORCHID AT MAUNA LAI           ,2024-08-07 07:05:07.198
H,1018500,3760,HALEKULANI HOTEL/WAK          ,2024-08-07 07:05:07.198
A,1018520,3441,ADVANTAGE RENT A CAR          ,2024-08-07 07:05:07.198
X,1018540,3097,SPANAIR                       ,2024-08-07 07:05:07.198
X,1018560,3297,TAROM ROMANIA                 ,2024-08-07 07:05:07.198
X,1018580,3098,ASIANA AIRLINES               ,2024-08-07 07:05:07.198
H,1018600,3740,TOWNEPLACE SUITES             ,2024-08-07 07:05:07.198
T,1018620,4813,SPECIAL TELECOM               ,2024-08-07 07:05:07.198
T,1018640,9405,INTRA-GOV. PURCHASE           ,2024-08-07 07:05:07.198
H,1018660,3748,WELLESLEY INNS                ,2024-08-07 07:05:07.198
H,1018680,3749,BEVERLY HILLS HOTEL           ,2024-08-07 07:05:07.198
H,1018700,3750,CROWNE PLAZA HOTELS           ,2024-08-07 07:05:07.198
H,1018720,3751,HOMEWOOD  SUITES              ,2024-08-07 07:05:07.198
H,1018740,3752,PEABODY HOTELS                ,2024-08-07 07:05:07.198
H,1018760,3753,GREENBRIAR RESORTS            ,2024-08-07 07:05:07.198
H,1018780,3754,AMELIA ISLAND PLANTA          ,2024-08-07 07:05:07.198
H,1018800,3755,HOMESTEAD                     ,2024-08-07 07:05:07.198
H,1018820,3631,SLEEP INNS                    ,2024-08-07 07:05:07.198
H,1018840,3632,PHOENICIAN                    ,2024-08-07 07:05:07.198
X,1018860,3067,VANGUARD AIRLINES             ,2024-08-07 07:05:07.198
X,1018880,3064,ADRIA AIRWAYS                 ,2024-08-07 07:05:07.198
H,1018900,3747,CLUB CORP/CLUB RESOR          ,2024-08-07 07:05:07.198
X,1018920,3026,EMIRATES AIRLINES             ,2024-08-07 07:05:07.198
X,1018940,3044,AIR LANKA                     ,2024-08-07 07:05:07.198
X,1018960,3089,TRANSAERO                     ,2024-08-07 07:05:07.198
X,1018980,3299,WIDEROE`S FLYVESELSK          ,2024-08-07 07:05:07.198
H,1019000,3553,PARK INNS INTERNATIO          ,2024-08-07 07:05:07.198
H,1019020,3724,INTER NOR HOTELS              ,2024-08-07 07:05:07.198
H,1019040,3725,SEAPINES PLANTATION           ,2024-08-07 07:05:07.198
H,1019060,3726,RIO SUITES                    ,2024-08-07 07:05:07.198
H,1019080,3727,BROADMOOR HOTEL               ,2024-08-07 07:05:07.198
H,1019100,3728,BALLY`S HOTEL AND CA          ,2024-08-07 07:05:07.198
H,1019120,3729,JOHN ASCUAGA`S NUGGE          ,2024-08-07 07:05:07.198
H,1019140,3730,MGM GRAND HOTEL               ,2024-08-07 07:05:07.198
H,1019160,3731,HARRAH`S HOTELS AND           ,2024-08-07 07:05:07.198
H,1019180,3732,OPRYLAND HOTEL                ,2024-08-07 07:05:07.198
H,1019200,3734,HARVEY / BRISTOL HOT          ,2024-08-07 07:05:07.198
H,1019220,3735,MASTERS ECONOMY INNS          ,2024-08-07 07:05:07.198
H,1019240,3736,COLORADO BELLE / EDG          ,2024-08-07 07:05:07.198
H,1019260,3737,RIVIERA HOTEL AND CA          ,2024-08-07 07:05:07.198
H,1019280,3738,TROPICANA RESORT & C          ,2024-08-07 07:05:07.198
H,1019300,3739,WOODSIDE HOTELS & RE          ,2024-08-07 07:05:07.198
H,1019320,3741,MILLENNIUM HOTELS             ,2024-08-07 07:05:07.198
H,1019340,3742,CLUB MED                      ,2024-08-07 07:05:07.198
H,1019360,3743,BILTMORE HOTEL & SUI          ,2024-08-07 07:05:07.198
H,1019380,3744,CAREFREE RESORTS              ,2024-08-07 07:05:07.198
H,1019400,3745,ST. REGIS HOTEL               ,2024-08-07 07:05:07.198
R,1019420,9700,INTNTL AUTOMATED REF          ,2024-08-07 07:05:07.198
R,1019440,9701,VISA CREDENTIAL SERV          ,2024-08-07 07:05:07.198
R,1019460,9702,GCAS  EMERGENCY SERV          ,2024-08-07 07:05:07.198
R,1019480,9950,INTRA-COMPANY PURCHA          ,2024-08-07 07:05:07.198
H,1019500,3551,MIRAGE HOTEL AND CAS          ,2024-08-07 07:05:07.198
H,1019520,3555,TREASURE ISLAND HOTE          ,2024-08-07 07:05:07.198
H,1019540,3564,SAM`S TOWN HOTEL AND          ,2024-08-07 07:05:07.198
H,1019560,3582,CALIFORNIA HOTEL AND          ,2024-08-07 07:05:07.198
H,1019580,3620,BINION`S HORSESHOE C          ,2024-08-07 07:05:07.198
H,1019600,3624,LADY LUCK HOTEL AND           ,2024-08-07 07:05:07.198
H,1019620,3628,EXCALIBUR HOTEL AND           ,2024-08-07 07:05:07.198
H,1019640,3662,CIRCUS CIRCUS HOTEL           ,2024-08-07 07:05:07.198
H,1019660,3667,LUXOR HOTEL AND CASI          ,2024-08-07 07:05:07.198
H,1019680,3669,ELDORADO HOTEL AND C          ,2024-08-07 07:05:07.198
H,1019700,3676,MONTE CARLO HOTEL AN          ,2024-08-07 07:05:07.198
H,1019720,3679,SILVER LEGACY HOTEL           ,2024-08-07 07:05:07.198
H,1019740,3682,SAHARA HOTEL AND CAS          ,2024-08-07 07:05:07.198
H,1019760,3708,VIRGIN RIVER HOTEL A          ,2024-08-07 07:05:07.198
H,1019780,3712,BUFFALO BILL`S HOTEL          ,2024-08-07 07:05:07.198
H,1019800,3761,PRIMADONNA HOTEL AND          ,2024-08-07 07:05:07.198
H,1019820,3762,WHISKEY PETE`S HOTEL          ,2024-08-07 07:05:07.198
H,1019840,3768,SILVER STAR HOTEL AN          ,2024-08-07 07:05:07.198
X,1019860,3206,CHINA EASTERN AIRLIN          ,2024-08-07 07:05:07.198
H,1019880,3539,SUMMERFIELD SUITES H          ,2024-08-07 07:05:07.198
H,1019900,3546,SIERRA SUITES HOTELS          ,2024-08-07 07:05:07.198
H,1019920,3561,GOLDEN NUGGET                 ,2024-08-07 07:05:07.198
H,1019940,3763,CHATEAU ELAN WINERY           ,2024-08-07 07:05:07.198
H,1019960,3764,BEAU RIVAGE HOTEL AN          ,2024-08-07 07:05:07.198
H,1019980,3765,BELLAGIO                      ,2024-08-07 07:05:07.198
H,1020000,3766,FREMONT HOTEL AND CA          ,2024-08-07 07:05:07.198
H,1020020,3767,MAIN STREET HOTEL AN          ,2024-08-07 07:05:07.198
A,1020040,3380,TRIANGLE RENT A CAR           ,2024-08-07 07:05:07.198
H,1020060,3769,STRATOSPHERE HOTEL            ,2024-08-07 07:05:07.198
X,1020080,3090,UNI AIRWAYS                   ,2024-08-07 07:05:07.198
X,1020100,3115,TOWER AIR                     ,2024-08-07 07:05:07.198
H,1020120,3770,SPRING HILL SUITES            ,2024-08-07 07:05:07.198
H,1020140,3771,CAESAR HOTEL AND CAS          ,2024-08-07 07:05:07.198
U,1020160,6050,ELECTRONIC CASH WITH          ,2024-08-07 07:05:07.198
X,1020180,3132,FRONTIER AIRLINES             ,2024-08-07 07:05:07.198
X,1020200,3136,QATAR AIRWAYS                 ,2024-08-07 07:05:07.198
H,1020220,3772,NEMACOLIN WOODLANDS           ,2024-08-07 07:05:07.198
H,1020240,3773,VENETIAN RESORTHOTEL          ,2024-08-07 07:05:07.198
H,1020260,3774,NEW YORK HOTEL & CAS          ,2024-08-07 07:05:07.198
H,1020280,3775,SANDS RESORT                  ,2024-08-07 07:05:07.198
H,1020300,3776,NEVELE GRAND RESORT           ,2024-08-07 07:05:07.198
H,1020320,3777,MANDALAY BAY RESORT           ,2024-08-07 07:05:07.198
H,1020340,3780,DISNEY RESORTS                ,2024-08-07 07:05:07.198
U,1020360,6529,MEM. FINL. INST.RSVL          ,2024-08-07 07:05:07.198
U,1020380,6530,MERCHANT RSVL                 ,2024-08-07 07:05:07.198
X,1020400,3148,AIR LITTORAL                  ,2024-08-07 07:05:07.198
H,1020420,3781,PATRICIA GRAND RES H          ,2024-08-07 07:05:07.198
R,1020440,3156,GO FLY LTD.                   ,2024-08-07 07:05:07.198
R,1020460,3783,TOWN COUNTRY RESORT           ,2024-08-07 07:05:07.198
T,1020480,6531,PAYMENT SERVICE PROV          ,2024-08-07 07:05:07.198
P,1020500,6532,PAYMENT MEMFININST            ,2024-08-07 07:05:07.198
P,1020520,6533,PAYMENT PAYSERVPROV           ,2024-08-07 07:05:07.198
R,1020540,3374,ACCENT RENT-A-CAR             ,2024-08-07 07:05:07.198
R,1020560,3782,ROSEN HOTELS RESORTS          ,2024-08-07 07:05:07.198
H,1020580,3778,FOUR POINTS HOTELS            ,2024-08-07 07:05:07.198
H,1020600,3779,W HOTELS                      ,2024-08-07 07:05:07.198
X,1020620,3167,AEROCONTINENTE                ,2024-08-07 07:05:07.198
R,1020640,3784,FIRST HOSPITALITY H           ,2024-08-07 07:05:07.198
R,1020660,3785,OUTRIGGER H & RES             ,2024-08-07 07:05:07.198
R,1020680,3786,OHANA HOTELS HAWAII           ,2024-08-07 07:05:07.198
R,1020700,3787,CARIBE ROYALE RESORT          ,2024-08-07 07:05:07.198
R,1020720,3174,JETBLUE AIRWAYS               ,2024-08-07 07:05:07.198
H,1020740,3788,ALA MOANA HOTEL               ,2024-08-07 07:05:07.198
R,1020760,3791,STAYBRIDGE SUITES             ,2024-08-07 07:05:07.198
R,1020780,6513,REAL ESTATE AGENTS            ,2024-08-07 07:05:07.198
T,1020800,6535,VALUE PURCH-FIN INST          ,2024-08-07 07:05:07.198
R,1020820,3792,CLARIDGE CASINO HTL           ,2024-08-07 07:05:07.198
R,1020840,3793,FLAMINGO HOTELS               ,2024-08-07 07:05:07.198
R,1020860,3794,GRAND CASINO HOTELS           ,2024-08-07 07:05:07.198
R,1020880,3795,PARIS LAS VEGAS HTL           ,2024-08-07 07:05:07.198
R,1020900,3177,AIRTAN AIRWAYS                ,2024-08-07 07:05:07.198
R,1020920,3789,SMUGGLERS NOTCH RSRT          ,2024-08-07 07:05:07.198
A,1020940,3388,MERCHANTS RENT-A-CAR          ,2024-08-07 07:05:07.198
R,1020960,3790,RAFFLES HOTEL                 ,2024-08-07 07:05:07.198
X,1020980,3183,OMAN AVIATION SERVIC          ,2024-08-07 07:05:07.198
X,1021000,3188,VIRGIN EXPRESS                ,2024-08-07 07:05:07.198
X,1021020,3211,NORWEGIAN AIR SHUTTL          ,2024-08-07 07:05:07.198
H,1021040,3521,ROYAL LAHAINA RESORT          ,2024-08-07 07:05:07.198
H,1021060,3796,PEPPERMILL HOTEL CAS          ,2024-08-07 07:05:07.198
H,1021080,3797,ATLANTIC CITY HILTON          ,2024-08-07 07:05:07.198
H,1021100,3798,EMBASSY VACATION RES          ,2024-08-07 07:05:07.198
H,1021120,3799,HALE KOA HOTEL                ,2024-08-07 07:05:07.198
X,1021140,3180,WESTJETAIR                    ,2024-08-07 07:05:07.198
H,1021160,3531,KAUAI COCONUT RESORT          ,2024-08-07 07:05:07.198
H,1021180,3532,ROYAL KONA RESORT             ,2024-08-07 07:05:07.198
H,1021200,3554,PINEHURST RESORT              ,2024-08-07 07:05:07.198
H,1021220,3556,BARTON CREEK RESORT           ,2024-08-07 07:05:07.198
R,1021240,3567,SOHO GRAND HOTEL              ,2024-08-07 07:05:07.198
R,1021260,3569,TRIBECA GRAND HOTEL           ,2024-08-07 07:05:07.198
R,1021280,3557,MANHATTAN EAST HOTEL          ,2024-08-07 07:05:07.198
R,1021300,3566,GARDEN PLACE HOTEL            ,2024-08-07 07:05:07.198
R,1021320,3571,GRAND WAILEA RESORT           ,2024-08-07 07:05:07.198
R,1021340,3576,LA QUINTA RESORT              ,2024-08-07 07:05:07.198
R,1021360,3578,FRANKENMUTH BAVARIAN          ,2024-08-07 07:05:07.198
R,1021380,3580,HOTEL DEL CORONADO            ,2024-08-07 07:05:07.198
R,1021400,3589,DORAL GOLF RESORT             ,2024-08-07 07:05:07.198
R,1021420,3594,ARIZONA BILTMORE              ,2024-08-07 07:05:07.198
R,1021440,3596,WYNN LAS VEGAS                ,2024-08-07 07:05:07.198
R,1021460,3597,RIVERSIDE RESORT              ,2024-08-07 07:05:07.198
R,1021480,3213,MALMO AIR                     ,2024-08-07 07:05:07.198
R,1021500,3226,SKYWAYS AIR                   ,2024-08-07 07:05:07.198
R,1021520,3236,AIR ARABIA                    ,2024-08-07 07:05:07.198
R,1021540,3245,EASYJET AIR                   ,2024-08-07 07:05:07.198
R,1021560,3246,RYANAIR                       ,2024-08-07 07:05:07.198
R,1021580,3247,GOL AIRLINES                  ,2024-08-07 07:05:07.198
R,1021600,3248,TAM AIRLINES                  ,2024-08-07 07:05:07.198
R,1021620,3260,SPIRIT AIR                    ,2024-08-07 07:05:07.198
R,1021640,3355,SIXT CAR RENTAL               ,2024-08-07 07:05:07.198
U,1021660,6534,MONEY TRANSFER INST.          ,2024-08-07 07:05:07.198
R,1021680,3003,EUROFLY AIRLINES              ,2024-08-07 07:05:07.198
R,1021700,3559,CANDLEWOOD SUITES             ,2024-08-07 07:05:07.198
R,1021720,3610,GAYLORD TEXAN                 ,2024-08-07 07:05:07.198
R,1021740,3611,C MON INN                     ,2024-08-07 07:05:07.198
R,1021760,3616,HERMITAGE HOTEL               ,2024-08-07 07:05:07.198
R,1021780,3602,HUDSON HOTEL                  ,2024-08-07 07:05:07.198
R,1021800,3604,HILTON GARDEN INN             ,2024-08-07 07:05:07.198
R,1021820,3607,FONTAINEBLEAU RESORT          ,2024-08-07 07:05:07.198
R,1021840,3296,AIR BERLIN                    ,2024-08-07 07:05:07.198
R,1021860,3614,AMERICINN                     ,2024-08-07 07:05:07.198
R,1021880,3617,AMERICABESTVALUEINN           ,2024-08-07 07:05:07.198
R,1021900,3618,GREAT WOLF                    ,2024-08-07 07:05:07.198
R,1021920,3801,"WILDERNESS HTL, GOLF          ",2024-08-07 07:05:07.198
R,1021940,3621,EXTENDED STAY                 ,2024-08-07 07:05:07.198
R,1021960,3803,"WIGWAM GLF,RSRT, SPA          ",2024-08-07 07:05:07.198
R,1021980,3804,DIPLOMAT CLUB SPA             ,2024-08-07 07:05:07.198
R,1022000,3805,THE ATLANTIC                  ,2024-08-07 07:05:07.198
R,1022020,3806,PRINCEVILLE RESORT            ,2024-08-07 07:05:07.198
R,1022040,3807,ELEMENT                       ,2024-08-07 07:05:07.198
R,1022060,3809,SETTLE INN                    ,2024-08-07 07:05:07.198
R,1022080,3810,H LA COSTA RESORT             ,2024-08-07 07:05:07.198
R,1022100,3811,H PREMIER TRAVEL INN          ,2024-08-07 07:05:07.198
R,1022120,3547,BREAKERS RESORT               ,2024-08-07 07:05:07.198
R,1022140,3812,HYATT PLACE                   ,2024-08-07 07:05:07.198
R,1022160,3813,HOTEL INDIGO                  ,2024-08-07 07:05:07.198
R,1022180,3814,THE ROOSEVELT HOTEL NY        ,2024-08-07 07:05:07.198
R,1022200,6536,MONEYSEND INTRACOUNTRY        ,2024-08-07 07:05:07.198
R,1022220,9999,ALL                           ,2024-08-07 07:05:07.198
R,1022240,6537,MONEYSEND INTERCOUNTRY        ,2024-08-07 07:05:07.198
X,1022260,3733,BOCA RATON RESORT             ,2024-08-07 07:05:07.198
X,1022280,3756,SOUTH SEAR RESORT             ,2024-08-07 07:05:07.198
X,1022300,3818,MANSTAY SUITES                ,2024-08-07 07:05:07.198
R,1022580,7890,MOBILZAIN,2024-08-07 07:05:07.198
U,1022600,7801,INTERNET GAMBLING (U.S),2024-08-07 07:05:07.198
U,1022620,7802,HORSE & DOG RACING (U.S),2024-08-07 07:05:07.198
