bra_code,bra_iden,bra_init,bra_province,bra_bank_code,bra_corp_name,bra_sequ_numb,bra_sub_province,updated_at
5467,W3,1007323,Province 1,1,Tankisinwari,100,Biratnagar,2024-08-07 07:03:06.983
5468,90,1007090,Province 5,1,TANSEN,100,Butwal,2024-08-07 07:03:06.983
5469,D2,1007132,Province 1,1,TARAHARA,100,Dharan,2024-08-07 07:03:06.983
5470,J7,1007197,Province 5,1,TAULIHAWA,100,Bhairahawa,2024-08-07 07:03:06.983
5471,43,1007043,Province 3,1,TEKU,100,Tripureswor,2024-08-07 07:03:06.983
5472,G8,1007168,Province 3,1,THALI,100,Boudha,2024-08-07 07:03:06.983
5473,48,1007048,Province 3,1,THAMEL,100,Thamel,2024-08-07 07:03:06.983
5474,47,1007047,Province 3,1,THANKOT,100,Thankot,2024-08-07 07:03:06.983
5475,S1,1007281,Province 3,1,Thulo Bharyang,100,Tokha,2024-08-07 07:03:06.983
5476,91,1007091,Province 7,1,TIKAPUR,100,Dhangadhi,2024-08-07 07:03:06.983
5477,W0,1007320,Province 3,1,Tinchuli,100,Boudha,2024-08-07 07:03:06.983
5478,D5,1007135,Province 2,1,TINKAURIYA,100,Janakpur,2024-08-07 07:03:06.983
5479,N3,1007233,Province 2,1,TIRUHAT,100,Lahan,2024-08-07 07:03:06.983
5480,G5,1007165,Province 3,1,TOKHA,100,Tokha,2024-08-07 07:03:06.983
5481,I8,1007188,Province 5,1,TRIBHUWAN CHOWK,100,Nepalgunj,2024-08-07 07:03:06.983
5482,01,1007001,Province 3,1,TRIPURESWOR,100,Tripureswor,2024-08-07 07:03:06.983
5483,J5,1007195,Province 3,1,TRISHULI,100,Battar,2024-08-07 07:03:06.983
5484,65,1007065,Province 5,1,TULSIPUR,100,Tulsipur,2024-08-07 07:03:06.983
5485,V8,1007318,Province 3,1,Tyanglaphat,100,Thankot,2024-08-07 07:03:06.983
5486,72,1007072,Province 1,1,URLABARI,100,Damak,2024-08-07 07:03:06.983
5487,L6,1007216,Province 2,1,VISWA,100,Birgunj,2024-08-07 07:03:06.983
5488,62,1007062,Province 4,1,WALING,100,Baglung,2024-08-07 07:03:06.983
